scenario,n,lambda_mean,lambda_rmse_mean,meas_rmse_mean,sicc_rmse_mean,lambda_detection_mean,sicc_detection_mean
no_gross_error,59,4.25631200,0.36720215,0.37165123,0.36521500,1.00000000,0.83050847
P1_2sigma,59,4.38316501,0.44783509,0.45184724,0.44929678,0.00000000,0.01694915
P1_5sigma,59,3.86480769,0.43392578,0.43577395,0.44429530,0.00000000,0.01694915
P1_10sigma,59,3.22178642,0.50401999,0.49840166,0.51959116,0.00000000,0.15254237
Q1_2sigma,59,5.15741740,0.44318345,0.44670911,0.44271600,0.00000000,0.22033898
Q1_5sigma,59,7.35551063,0.45337344,0.45543557,0.44952328,0.00000000,0.81355932
Q1_10sigma,59,7.74263683,0.43334571,0.43638521,0.41667561,0.00000000,1.00000000
R1_2sigma,59,4.64562726,0.42128316,0.42416002,0.42006593,0.00000000,0.00000000
R1_5sigma,59,3.74014374,0.48800280,0.49102896,0.48720660,0.00000000,0.01694915
R1_10sigma,59,3.48205961,0.44057093,0.44442002,0.43999059,0.00000000,0.06779661
P6_2sigma,59,4.77466932,0.43784809,0.44125173,0.43744034,0.00000000,0.00000000
P6_5sigma,59,3.47987055,0.41990087,0.42514876,0.42013093,0.00000000,0.01694915
P6_10sigma,59,3.61329073,0.41419982,0.41807971,0.41532569,0.00000000,0.00000000
Q3_2sigma,59,3.74233280,0.45045521,0.45549568,0.44891650,0.10169492,0.10169492
Q3_5sigma,58,2.49195968,0.41965698,0.42645736,0.42255029,0.62068966,0.20689655
Q3_10sigma,58,1.31055732,0.43361923,0.44903706,0.45723372,0.84482759,0.13793103
combined_current_tph,58,0.12915497,0.44012815,0.43723313,0.45652385,0.07241379,0.17586207
